,0,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월
0,A-01,1335.2265884575793,1315.2508797198511,1453.8683557030508,1479.4939285714286,1445.2824101564634,1447.0994158981118,1421.4642996207788,1376.25462749616,1406.513286579564,1522.7658328871942,1379.6572093109387,1331.338469303057,1286.7692288777546,1341.2787601997325,1403.1802390135576,1460.9541571319605,1402.378784663271,1430.7076577666644,1393.562517708643,1369.8771186440677,1481.7240592350247,1324.8508064516132,1468.9878641456585,1376.9765395894428,1304.7081989247313,1306.4687499999998,1399.5235388453316,1434.273809523809,1402.703993855607,1389.5106625258807,1374.9117179863144,1338.344964846981,1353.742361111112,1423.256260611205,1451.5011111111114,1402.274960815047,1347.6449567554928,1269.7629676870747,1372.9979838709678,1426.575,1409.7876344086026,1380.6905909586053,1360.1754032258061,1354.5799731182792,1354.7381944444446,1391.827956989248,1425.8701388888899,1363.7022849462362,1257.2735215053763,1222.0488505747123,1143.043010752688,1189.4249999999995,1229.4623655913979,1297.0756944444445
1,A-02,1638.0504573532908,1660.2967879041253,1713.5869506778868,1690.6964048481716,1665.6193701112984,1654.9515096618354,1641.267090455333,1601.6443164362524,1587.299030052073,1665.2811853002067,1658.0434869451358,1613.0002513615414,1514.65625,,1573.8029664855076,1286.5629054988774,770.2193961317378,437.6706363629029,1532.1616735537189,1533.02688172043,1612.3048611111114,1452.038978494624,1601.8368055555557,1538.4772116324539,1468.266801075269,1466.2261904761906,1546.8024193548385,1562.46875,1546.5873655913977,1528.9472222222214,1535.6597673160177,1475.7308419423896,1494.8202341137126,1548.9032470568234,1572.754385964912,1542.475679205852,1488.2650479195888,1389.3620323129255,1507.8757942326488,1579.3996161071634,1530.1955645161286,1499.3569444444445,1488.1518817204299,1482.1861559139782,1468.9291666666672,1505.0073924731187,1545.7013888888891,1490.3219086021509,1376.579301075269,1348.0596264367816,1254.292338709677,1304.8034722222224,1351.6794354838712,1427.0326388888893
2,A-03,665.822436370315,697.8624608770865,765.1708683964468,741.1574420446703,725.3062924960835,724.833565389924,719.0012328340747,710.457214869407,709.1506702898549,734.0547902891874,718.2407423185062,699.3787423928728,643.7806303245102,742.5623050336895,698.2434802088204,692.6770325753176,665.0608333333331,711.8733376606232,653.8276077954055,631.3034946236556,663.214917027417,575.9677579365078,637.2549603174605,649.6182359307359,613.0583096141684,628.7356505102041,654.6147817460317,653.0302777777778,650.2668712014961,644.0152777777779,641.4158724340176,628.2557899090156,626.2072204968943,655.6182388400132,670.6537845167652,647.3526253918496,621.5433029453015,592.9278273809525,632.1139418377321,651.8687500000001,635.6967504743834,611.6716101694915,613.200136612022,607.9905913978496,607.2791666666667,615.6088709677421,640.0847222222224,614.5557795698926,566.2755376344084,548.9030172413793,527.921370967742,554.8314915458935,586.8814068100357,606.9034722222223
3,A-04,232.96269967430177,237.3728433023496,255.77303078955197,258.07412959688406,261.36551563281733,250.1033438948542,248.41895110396572,251.1305070139009,253.25535633401367,253.3047619005325,244.46930256941133,226.96908016234116,222.8411286780852,,234.63638088964163,245.97390033879162,235.09262874929266,241.27053140096623,236.70142961876826,235.62836021505373,252.3326388888889,225.29233870967735,253.6026785714285,229.72409579667635,217.3861738684545,224.5803571428571,240.48319892473117,251.73375000000013,257.4475132572096,245.54444444444445,254.8081906016688,245.0700475599669,243.8967391304348,249.54785469906426,256.0,239.09234587251828,228.78836489013568,214.45418792517012,232.0190004887585,248.3493055555556,249.38239247311827,239.5270833333333,245.07728494623655,243.63575268817203,239.54375000000002,240.97379032258058,244.4505387205387,229.1008064516128,213.56720430107518,208.25071839080465,204.88306451612905,218.26541666666674,222.64045698924724,238.9743055555555
4,A-05,1196.5352901488277,1187.2630429302887,1252.1443134191247,1222.64893921095,1211.1703859296579,1202.5697292143402,1068.8752710622712,1197.3270558806275,,,890.4107142857142,1187.248299319728,,1065.0316499623566,1077.958839092184,1160.0609230895914,1126.3205645161295,1112.6133442342682,1089.7204301075267,1098.842549923195,1186.5902777777778,1076.608198924731,1252.1594636844636,1047.824915824916,1622.1071428571431,,,,,,,,,,,1212.4290184453232,1165.7593501636281,1101.9564200680272,1158.9772727272723,1159.7229166666664,1149.709005376344,1157.2430555555554,1159.304753820034,1158.1922043010757,1141.6450617283951,,1199.6525349650349,1160.2237903225807,1109.465053763441,1088.1135057471263,1017.9729206198606,1064.6236111111107,1090.8266129032259,1125.804166666667
5,A-06,961.4593871840127,952.5882535705834,938.7464783100808,962.9543520886617,958.1776718547928,961.2981170076725,960.9894909544847,,,,944.0958721532089,945.2995478983381,854.738959529669,889.238639794686,896.6980481533426,931.5661009067658,932.6008064516127,922.0415157004833,884.3573924731181,889.375672043011,928.3083333333336,860.6068548387098,913.8881944444446,882.1522482893453,868.4993279569893,861.676339285714,862.5252688172042,849.197762508809,861.2083333333334,879.6458333333334,868.6767473118279,874.5446078431372,1051.8178650412733,1010.3434343434343,884.2604166666671,881.2716823406481,848.5036816269283,824.8653273809523,859.3135386119258,862.7888888888889,858.1229838709676,858.5479166666665,826.8501344086022,830.944892473118,814.9819444444448,827.6868279569892,852.2152777777777,838.4704301075269,791.8534946236557,776.59841954023,734.4375000000001,756.6694444444443,771.6895161290323,798.1479166666668
6,A-07,631.8201793531387,646.7264236999148,659.9797160243407,,,,,,,,,,,877.7897677277432,858.7062587657787,762.0477542220625,630.2098398774714,476.48996261958143,834.067166563595,807.5570788530465,810.7935238218091,772.5098480308932,828.5543407761829,804.8324291300096,773.6941614789658,761.6049107142857,795.7069892473118,794.1773611111109,798.8075381140596,779.0509920634921,774.9654861267767,764.4920905707195,746.5459653647752,763.2661290322583,802.3388888888888,803.9327063740855,779.7083625525947,748.2196003401361,767.8676819974897,784.6213450292398,788.0998633879782,755.8257142857143,786.2708333333333,772.3783602150537,782.2068910256413,1026.9150793650795,1044.6902777777777,1027.1655092592594,,934.9655172413791,887.7983870967741,712.4936067019402,692.2923387096774,723.7076388888888
7,A-08,1300.231145704434,1240.3527569417613,1265.8207849243422,1258.225639084236,1275.239363441175,1288.1749861466326,1294.377383791716,1293.1930534766504,1291.7887803401295,1321.3145607268527,1308.2880676328502,1293.2882789511318,,,1246.9555016390614,1246.7531949934125,1213.8698970985156,1192.2633779264213,1114.9054863147605,1131.7836021505375,1139.277777777778,1059.486559139785,1057.2291666666667,1113.2411412512222,1070.9407894736844,1053.754464285714,1105.922715053763,1067.1844444444441,1075.62053135037,1084.197222222222,1061.6850562072339,1017.9267122487142,1011.4952898550728,1087.1405476963512,1098.482638888889,1109.8042319749215,1085.5692496493687,1046.5031887755104,1083.6513929618764,1095.270138888889,1084.1239247311828,1090.0349893162395,1090.8875786163521,1052.3809523809527,1030.2645833333333,1086.7695503421312,1111.865126811594,1093.9064207650272,1040.2983870967741,1047.7011494252874,1009.2002688172045,1016.2173611111112,1015.2385752688173,1042.5798611111109
8,A-09,1185.7076664722777,1164.2621680001073,1234.77514701902,1224.1173248792277,1131.5329949888403,,1192.4139161758249,1197.861103660832,,,,,,1085.7232401656313,1058.4305165965407,1055.6892237324219,1010.8432441992079,1021.0656099033814,1003.754762739598,996.3487903225804,1027.9142398342399,927.204656862745,1029.275,1015.4376052188551,962.9182098765433,950.299107142857,982.1317204301075,963.6602777777778,937.6095679012345,977.4749999999999,,,,929.0947525960166,960.7401920995671,954.4630485893418,941.3621435250118,914.0535714285713,952.5390395894426,956.2270833333334,941.4159946236562,932.2437500000003,933.1344086021504,916.5302419354839,901.7854166666668,936.352150537635,950.4597222222221,932.1075268817207,881.2950268817204,893.8670977011496,853.8998655913979,875.2520833333335,873.2862903225806,890.2104166666666
9,A-10,1311.2468367571435,1259.9313765736183,1417.173884383437,1411.9387583942807,1391.749671074601,1381.6534692028986,1388.1402246414316,1372.0312275985657,1323.9476168531226,1405.4653407092524,1386.902814009662,1378.8451379149135,1256.214177185601,1354.4200617283948,1453.331573498965,1412.8040184453228,1350.5779569892475,1395.1483997584546,1342.5531970649897,1351.028897849462,1404.2788793103448,1266.3024193548392,1082.1205782312927,1320.0828445747802,1317.5772849462364,1267.1277412280704,1374.1388653084332,1378.335732323232,1352.8718492528978,1357.3131944444447,1343.5712365591403,1334.9327956989246,1315.3150256074973,1248.9858630952383,,1257.8810290404037,1226.764288218794,1163.6742134353742,1222.4594941348973,1255.502083333333,1222.5443548387098,1190.8902777777776,1204.361559139785,1184.4704301075271,1164.25988700565,1209.0784722222224,1229.129861111111,1178.4303191489362,1061.0925925925924,1030.8254310344832,956.2941694205057,973.0611111111112,990.6143847182507,1052.5673611111113
